ADM0_NAME,ADM1_NAME,ADM2_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,pop_1960,pop_2001
Viet Nam,Dong Thap,Hong Ngu,1.442684276,2.913713892,31.90616143,24.33248392,213.4586622,112.6937243,0.944692839,0.759387222,0.984004801,0.887784469,1.501443391,2.805536809,31.35248717,23.63236267,209.8005616,111.3135113,27.59681238,24.10606399,28.60694462,23.8090124,182523.9533,225082.6459
Viet Nam,Dong Thap,Sa Dec Township,1.492909701,2.941568463,31.99627548,24.76470183,209.1653895,120.9981524,0.961757229,0.798734005,0.988090505,0.955294062,1.531866106,2.833486815,31.45142525,24.06484237,204.9022693,118.5398154,28.12701503,24.07290124,29.57901849,23.50718403,88652.38791,103101.815
Viet Nam,Dong Thap,Tam Nong,1.456316597,2.917985971,32.01912843,24.39525345,212.178146,117.1940442,0.936776975,0.724783782,0.984095554,0.840842299,1.512547965,2.80842965,31.46970392,23.70096264,208.2582766,115.4575341,27.70188466,24.45246212,29.01044766,23.73182119,74037.89277,105948.0967
Viet Nam,Dong Thap,Thanh Binh,1.503024423,2.928530771,31.89423653,24.46941276,211.1061569,116.1994656,0.944583931,0.751501417,0.98455402,0.885307454,1.555762775,2.819470689,31.34717884,23.77279185,207.2628694,114.6114986,27.71194502,24.11821895,28.61895469,23.63429679,130637.3346,155473.4753
Viet Nam,Dong Thap,Thap Muoi,1.455687452,2.923620407,32.07574124,24.47691807,211.6242242,117.9812097,0.952854182,0.76238971,0.985497157,0.863024667,1.501891427,2.814052271,31.52592534,23.78558435,207.3315488,116.2130197,28.39664469,24.00462932,28.89626514,23.49444729,99462.51001,138038.7087
Viet Nam,Dong Thap,Cao Lanh Township,1.518600134,2.934194603,31.99671046,24.64436507,210.0975689,121.1864948,0.963589326,0.805185713,0.987049536,0.956353942,1.564395497,2.825566761,31.45056049,23.94655826,206.0585816,119.5478547,28.16091184,23.85733175,29.25914326,23.47676596,127976.9887,161678.1083
Viet Nam,Dong Thap,Lai Vung,1.49795293,2.948260995,31.91874654,24.81297545,209.2509525,122.5192082,0.959813189,0.782461834,0.987509403,0.939215617,1.532306436,2.840181739,31.37537593,24.11077225,205.0970243,120.1229511,28.31504601,23.87411655,29.13128184,23.43784988,130523.7274,159681.8905
Viet Nam,Dong Thap,Lap Vo,1.513814873,2.943438052,31.88900751,24.69482728,209.4020082,121.3228536,0.966796281,0.807437773,0.987646507,0.942484573,1.553645192,2.835370126,31.34494821,23.99442321,205.3494485,119.3086923,28.55033126,24.02752697,29.17222855,23.35534659,157701.6515,181129.8994
Viet Nam,Dong Thap,Tan Hong,1.464809352,2.907998372,32.15497361,24.39092325,213.2517007,116.6027687,0.960956449,0.779256286,0.987446156,0.885329814,1.52512047,2.799338372,31.59856864,23.69495021,209.3521154,115.0212384,28.6271315,24.39704253,29.41508277,23.61134027,67441.25571,90701.54731
Viet Nam,Gia Lai,Chu Se,1.831957332,2.506610086,30.39669562,20.93940625,221.0049778,166.6995397,0.766833793,0.623908164,0.886700653,0.62816956,1.88291787,2.431607911,29.8399927,20.15019249,217.3623604,164.742538,31.56315684,19.99284167,32.0414871,21.08173451,86496.91184,172714.7009
Viet Nam,Gia Lai,KBang,1.824901198,2.199016655,27.02734536,17.47158449,214.971781,155.0364957,0.316291049,0.416855311,0.361018939,0.438673017,1.861416011,2.143356414,26.5351836,16.70449208,211.7994274,147.1508802,25.90665283,16.67661483,26.15849219,17.70444592,34480.07476,64984.18007
Viet Nam,Gia Lai,Kong Chro,1.872081568,2.45651557,28.773289,20.08772284,216.8418145,135.0894326,0.490517328,0.549453846,0.663068296,0.623662863,1.894678572,2.388542906,28.25039609,19.31217122,214.1662399,128.4828783,28.13013656,18.77858029,29.08903198,19.92746956,22965.98817,44746.41367
Viet Nam,Gia Lai,Krong Pa,1.813779837,2.522594769,29.34382604,21.08210205,215.8908216,122.3450637,0.554869506,0.517141196,0.704596405,0.616611847,1.833630552,2.452583546,28.80653304,20.31414549,213.4845118,114.4821509,28.85521087,19.59313238,29.68234618,20.77406322,41519.9927,76237.17175
Viet Nam,Gia Lai,Pleiku Township,1.93605933,2.272056965,28.82124933,18.35731191,219.531333,206.9302044,0.54608309,0.74508845,0.72957754,0.799308162,1.992453349,2.205474224,28.28166641,17.56749633,215.4294024,208.3888994,32.65114136,17.99809985,31.51577274,18.755065,114741.4296,208432.9158
Viet Nam,Gia Lai,Chu Pah,1.855178596,2.287472771,28.75428297,18.13611941,221.7123978,180.7539506,0.36811907,0.497893979,0.486965911,0.483656607,1.913505111,2.220913989,28.22189839,17.34367029,217.4298391,181.7120207,28.21228863,18.16812582,28.42981228,18.88961305,34129.1621,67642.80194
Viet Nam,Gia Lai,Chu Prong,1.792802351,2.555221879,31.09012219,21.4089203,222.9612995,189.6609997,0.754578508,0.538343578,0.876792063,0.525434692,1.858439826,2.478107774,30.50985088,20.60428932,218.6377543,190.5245594,31.42315247,20.6444086,32.12870512,21.61107059,51205.12743,102801.6236
Viet Nam,Gia Lai,Duc Co,1.78052334,2.562604618,31.16801082,21.28367727,224.3823532,205.1415063,0.706871364,0.46371187,0.893119048,0.504884689,1.854456917,2.485447394,30.59101519,20.46882984,219.4790379,207.3571404,31.77145091,19.99618036,31.6319717,21.19234668,29139.00136,64859.60048
Viet Nam,Gia Lai,Ia Grai,1.783748633,2.445907892,30.30989137,20.05717965,223.9359695,209.2942273,0.529545227,0.466426723,0.707424987,0.472360906,1.850959102,2.372965195,29.75034099,19.24833481,219.1707383,211.4730999,31.10958985,19.28150868,30.64909113,20.368088,50509.73847,79142.02272
Viet Nam,Ha Nam,Binh Luc,1.52422615,2.491142485,27.51089539,20.99987274,181.3484829,137.5750676,0.919519683,0.811179542,0.968751144,0.898328499,1.629093582,2.494784075,27.09694731,20.36330174,172.6309358,134.9831712,28.17113258,19.46866302,27.88115517,20.47496309,137499.6471,143893.0623
Viet Nam,Ha Nam,Duy Tien,1.437092598,2.477213194,27.49236807,20.86287888,179.7891804,141.243455,0.896585102,0.780799732,0.964834226,0.884399774,1.503491682,2.48077154,27.04567722,20.23936937,170.8815622,138.4857449,28.20815361,19.55243683,28.20088683,20.55796702,118172.5234,135747.9727
Viet Nam,Ha Nam,Kim Bang,1.434145839,2.457357047,27.42847893,20.68974368,179.8244008,139.6246622,0.852896779,0.772912509,0.929625714,0.852999401,1.505580949,2.46096645,26.98085892,20.04881338,171.168806,136.7397351,28.02267484,19.32629596,27.9987999,20.69852755,155696.6403,160585.5135
Viet Nam,Ha Nam,Thanh Lien,1.480378306,2.478798277,27.54196438,20.88581384,181.1328121,137.571586,0.908229365,0.812441455,0.957710496,0.877572372,1.577863683,2.482571944,27.11842375,20.23575931,172.60946,134.8481255,28.34841078,19.11249172,27.75344913,20.44889503,108782.8267,134303.4558
Viet Nam,Ha Nam,Ly Nhan,1.535842163,2.48715743,27.43365825,20.98369889,181.1126808,141.7975807,0.910401605,0.79142234,0.963185579,0.892196177,1.632993016,2.490559715,27.01568346,20.36067718,172.1816591,139.2861623,27.65006604,19.42415641,27.40640736,20.2331729,151580.9989,173864.5791
Viet Nam,Ha Nam,Phu Ly Township,1.414993881,2.481427914,27.57550117,20.90876457,180.1972786,138.071183,0.944617916,0.84166085,0.968567894,0.921423627,1.500053727,2.485137913,27.14194241,20.26551964,171.575425,135.2919865,28.2376228,19.4954311,28.42154634,20.3194263,45900.62739,31058.64696
Viet Nam,Ha Noi City,Dong Anh,1.408384958,2.439926578,27.44068325,20.48479798,174.9745706,137.4948792,0.922587332,0.792999177,0.966273953,0.912154279,1.363926612,2.44218336,26.97462131,19.895611,165.2573975,136.0038498,28.08665808,19.31203396,28.45468936,20.29110197,207713.004,350062.9591
Viet Nam,Ha Noi City,Soc Son,1.415599203,2.42210127,27.34963845,20.23819823,175.3413031,142.1228531,0.882516648,0.773443172,0.949051428,0.869385122,1.349104442,2.424036473,26.88979651,19.65486506,165.4778862,140.9799218,28.54289231,19.6018673,28.38235302,20.40120785,174078.7501,294154.9475
Viet Nam,Ha Noi City,Ba Dinh,1.304837049,2.447713349,27.71928875,20.8837155,173.2190711,136.8992304,0.950814705,0.930697098,0.9697667,0.942483814,1.28223396,2.450353218,27.25081042,20.28730387,163.7335832,135.078608,29.60499487,19.6954742,29.61824304,20.49684042,149000.6222,240696.6215
Viet Nam,Ha Noi City,Cau Giay,1.333736941,2.448574919,27.67249192,20.80607364,173.586839,136.4763732,0.950177669,0.918280249,0.972754848,0.95389099,1.307706174,2.451178786,27.20061501,20.2084233,164.1211888,134.6808549,29.34320503,19.69614807,30.88655559,20.94754624,141389.773,249533.1513
Viet Nam,Ha Noi City,Dong Da,1.309275515,2.447390449,27.70488764,20.87088951,173.3194288,136.8441011,0.95235993,0.938089395,0.972976735,0.953247568,1.286531241,2.450030511,27.2372545,20.27503768,163.8224925,135.0253722,31.17919271,19.90343133,31.32374847,21.23826588,222909.1337,391028.2894
Viet Nam,Ha Noi City,Hoan Kiem,1.348944592,2.446693129,27.63191933,20.79834663,174.2241223,135.9676418,0.950454436,0.926983592,0.96791302,0.929544867,1.325571484,2.449334717,27.16577798,20.20442181,164.6698063,134.1971545,30.28682735,19.27329681,29.00557792,20.05046986,91781.85778,149721.4608
Viet Nam,Ha Noi City,Tay Ho,1.37186747,2.446613886,27.56729518,20.69016265,174.3681396,135.6205321,0.9323359,0.848981343,0.958632651,0.909491474,1.342877608,2.449153864,27.09675335,20.09494955,164.8305236,133.9173768,27.74944897,19.58343815,27.72481206,19.86542735,84013.1922,132548.7322
Viet Nam,Ha Noi City,Thanh Xuan,1.298438368,2.448540683,27.74698495,20.90828125,173.0615336,137.0277199,0.955291668,0.939447653,0.974094567,0.958381734,1.276410061,2.451187669,27.2767841,20.31084434,163.6016599,135.1939081,30.92230198,20.08578607,32.32637758,21.55532693,129100.2361,217196.1381
Viet Nam,Ha Noi City,Tu Lien,1.356706329,2.451579971,27.70727955,20.81710058,173.7753591,138.0784186,0.940627991,0.853503984,0.969284881,0.934818048,1.331468394,2.454283341,27.23455728,20.21820311,164.3898755,136.1342771,28.650421,19.44599776,29.55439542,20.6326781,251428.8628,421864.601
Viet Nam,Ha Tay,Ba Vi,1.481221431,2.411667138,27.31485552,19.97521245,175.8612025,133.156,0.837280581,0.75627369,0.904152432,0.818782196,1.44442963,2.414089419,26.88128404,19.28585065,167.1033497,131.4353677,27.71587379,19.24843859,27.20348838,19.61045038,172144.2899,258885.9609
Viet Nam,Ha Tay,Chuong My,1.39286185,2.460602991,27.61576961,20.62922297,176.4750274,144.1598235,0.882297722,0.771273237,0.971199002,0.898328561,1.393974651,2.463975506,27.14048176,19.99811281,167.559077,141.4096197,28.60921833,19.36829808,28.50639237,20.76323715,156588.6625,295807.9055
Viet Nam,Ha Tay,Ha Dong Township,1.356553096,2.454792014,27.72524016,20.8730816,174.0320674,138.2786314,0.944653807,0.882981391,0.973856746,0.951725434,1.341585084,2.457648706,27.25028723,20.27083757,164.7263649,136.1286698,29.86691533,19.34025197,30.86264212,21.06833937,129524.7044,180165.6034
Viet Nam,Ha Tay,Hoai Duc,1.390573219,2.455808676,27.63197898,20.66943458,174.7480356,141.7403148,0.927633225,0.807253745,0.972438337,0.930226954,1.368187796,2.45863587,27.16082218,20.05904333,165.5404219,139.5109219,28.94594808,19.22225035,29.35070816,20.71728412,124891.4359,232359.0677
Viet Nam,Ha Tay,My Duc,1.386064189,2.458968542,27.54408066,20.62235205,178.4274478,144.8610636,0.844955216,0.748292901,0.938657292,0.840738106,1.421885074,2.462689098,27.06952183,19.98375305,169.7369226,141.7362582,28.0845304,19.60286672,27.89655566,20.67977497,92210.09845,176657.5077
Viet Nam,Ha Tay,Phu Xuyen,1.415592473,2.469212189,27.53248882,20.81611022,178.0539547,141.2030574,0.902117297,0.793196856,0.965547508,0.892877324,1.452573537,2.472660034,27.06192161,20.20649074,168.9875584,138.4962573,28.14968457,19.58146927,28.19379666,20.73147659,117006.2307,188277.8105
