ADM0_NAME,pop_2001,pop_1960,pr_2001,tmax_2001,tmin_2001,srad_2001,vap_2001,vs_2001,pr_1960,tmax_1960,tmin_1960,srad_1960,vap_1960,vs_1960,LSTday_2001,LSTnight_2001,LSTday_1960,LSTnight_1960,ab_1960,ag_1960,ab_2001,ag_2001
Lao People's Democratic Republic,22360.5291,8595.593043,188.0765528,29.63072614,20.63867386,222.1598296,2.40306051,1.42579426,191.3190993,29.18138028,19.94958681,215.9782152,2.378364128,1.422757699,27.88370362,20.14430304,27.07906495,18.91547446,0.399905082,0.289428115,0.555171362,0.341151872
Lao People's Democratic Republic,25933.3005,9246.067836,184.0637941,30.67674546,20.82336208,224.4068239,2.452938557,1.502222808,190.2171442,30.1869313,20.12584401,217.3519764,2.425424389,1.384000728,28.93232591,20.65986636,28.04844925,19.55106118,0.43063405,0.269975353,0.670936674,0.371459668
Lao People's Democratic Republic,93667.72369,69169.85743,190.1664105,30.99014125,20.92512607,221.7472884,2.44022811,1.498174796,196.0329754,30.50740926,20.26525103,214.536472,2.412458521,1.330813398,29.726656,21.49348279,29.07117554,20.37133239,0.604490758,0.380497094,0.780728107,0.473444559
Lao People's Democratic Republic,31449.89644,25618.86153,212.7114147,28.99580602,19.74276381,218.2557286,2.307072003,1.475133187,215.7029454,28.56869877,19.10599893,211.7563897,2.285748652,1.421829297,27.27619076,20.31664029,26.8598286,19.0070862,0.311548128,0.285487803,0.440790641,0.335547243
Lao People's Democratic Republic,35142.20318,37782.72022,120.3315235,30.39201741,18.48861686,196.737695,2.187671049,1.532217305,113.9826444,29.79902319,17.67714412,189.8080827,2.185545884,1.222661584,25.50734074,19.5349544,25.83977314,18.84974737,0.247664804,0.27123107,0.290055804,0.259500868
Lao People's Democratic Republic,80796.00878,64625.12552,126.5155936,30.1050896,18.32460057,196.0351238,2.147662447,1.565088718,119.4506969,29.50492,17.53032375,189.0105315,2.146896395,1.273920659,25.43766219,19.10738059,25.77213657,18.51993163,0.274431266,0.293458073,0.318384047,0.292353785
Lao People's Democratic Republic,69327.04468,48683.33053,140.1366612,28.99284086,17.74635589,192.9227659,2.088358915,1.597302112,134.0696932,28.39476618,16.84322797,184.6902176,2.089774303,1.319892024,24.91241887,18.54989228,25.16904911,18.04331632,0.292667395,0.311336919,0.268828685,0.288796478
Lao People's Democratic Republic,25775.93743,16313.99402,125.9844109,29.5434143,17.77312691,198.7237691,2.040041106,1.581721471,119.426283,28.99982769,17.06522244,192.5634857,2.03358047,1.294175664,25.08926077,18.36984629,25.17398413,17.7005189,0.207235936,0.239833563,0.227056307,0.219772813
Lao People's Democratic Republic,39545.69743,36401.81761,143.5993798,28.17404486,17.38559966,191.3726162,2.03929032,1.642149716,137.997546,27.60964129,16.49355287,182.8573059,2.041826924,1.390899313,24.3332205,18.46852575,24.8331166,18.04151403,0.335212667,0.360905002,0.27488608,0.290848424
Lao People's Democratic Republic,27398.26249,8690.080208,131.6498739,29.93696051,18.36453368,194.6502767,2.165217522,1.566696462,124.7675664,29.33105782,17.50242588,186.9935938,2.167862181,1.278237876,25.41623588,19.4694086,25.75253635,18.92396825,0.269742152,0.290293361,0.312893757,0.287390655
Lao People's Democratic Republic,22634.06994,18064.39403,139.1361814,28.49480018,17.34485543,193.4734605,1.99020064,1.667328375,131.990509,27.89158368,16.55332536,185.6158079,1.992475263,1.407612522,24.42771847,18.33518997,24.86738166,17.76491624,0.30465484,0.339702396,0.22135276,0.262523088
