ADM0_NAME,ADM1_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,ADM0_NAME.y,pop_1960,pop_2001
Viet Nam,Thai Binh,1.985598059,2.51473827,27.29124389,21.15231647,182.8550912,144.2406623,0.959959158,0.87681503,0.979734516,0.938165939,2.124917949,2.518263545,26.9169323,20.54311444,174.0312274,142.0891455,27.27932287,19.67193819,27.18033989,20.60243964,Viet Nam,1670953.353,1758763.918
Viet Nam,Thai Nguyen,1.469476759,2.341160656,26.99340674,19.51854138,175.67809,150.5073178,0.755799795,0.685165034,0.851372715,0.76168353,1.37953618,2.343942422,26.56120634,18.93052137,166.0961682,150.7565417,27.67263512,18.41236361,27.11293513,19.4128941,Viet Nam,930755.454,1133771.022
Viet Nam,Thanh Hoa,1.830527053,2.43217454,27.53569974,20.30188503,185.376632,140.2571704,0.859119868,0.813944945,0.878599851,0.845206968,1.951667935,2.436234172,27.11214942,19.60643324,178.0704339,135.3628298,28.25576,19.03649349,28.20167555,19.94560434,Viet Nam,3176012.763,3341963.381
Viet Nam,Thua Thien - Hue,2.235665708,2.495118212,28.91356487,21.70846504,214.4919096,221.3451612,0.739530013,0.699415695,0.804760292,0.74516993,2.433817881,2.47090622,28.51436274,20.94190897,210.8017703,200.0908673,29.92116012,20.05262965,29.36274502,21.42159362,Viet Nam,885429.4589,1069409.73
Viet Nam,Tien Giang,1.921768011,2.927630414,31.78249824,24.3766448,209.7799206,108.5950806,0.972894816,0.841927622,0.989415468,0.949522172,1.930986365,2.818000008,31.22540709,23.69087904,204.6484368,111.8407192,29.27658165,23.21381602,30.19680469,23.29296012,Viet Nam,1379526.948,1675366.607
Viet Nam,Tra Vinh,2.298142374,2.98861706,31.44628127,24.87862781,207.7160995,118.9155244,0.970357534,0.823340046,0.990950955,0.954525911,2.317734578,2.871776668,30.8883652,24.17808797,202.6984619,125.3601028,29.34430227,22.99688736,29.6371677,23.55876612,Viet Nam,811853.0296,1001909.294
Viet Nam,Tuyen Quang,1.556651328,2.290569854,26.80402992,19.08941349,174.0587171,139.803525,0.641419351,0.598887936,0.736864136,0.690495619,1.468384453,2.293007357,26.37968889,18.40119689,165.9426007,141.429171,26.10494782,17.85021422,26.43096153,18.98242756,Viet Nam,633343.4525,730342.4813
Viet Nam,Vinh Long,1.649915911,2.951159543,31.73333661,24.69536972,208.4391306,115.8692246,0.969058473,0.813527736,0.988531087,0.948914358,1.672098786,2.83977094,31.18306168,23.99972943,203.6917759,116.8674141,28.87959556,23.27451535,29.51630315,23.18700169,Viet Nam,872146.5636,1024287.141
Viet Nam,Vinh Phuc,1.443624394,2.411376253,27.32739872,20.05613241,174.8974977,141.6161455,0.859120709,0.760258528,0.920181273,0.855218998,1.384271787,2.413347045,26.88198744,19.42918077,165.6303327,140.5845439,28.06638012,19.46499074,28.0279284,20.14971054,Viet Nam,1246879.765,1184282.078
Viet Nam,Yen Bai,1.670727546,2.145107138,25.6407881,17.89050201,175.9962939,143.4939089,0.642868099,0.559216067,0.689129216,0.617200403,1.56422042,2.148916627,25.21798151,17.09342484,167.813741,144.7050538,25.47404568,16.88294414,25.53026413,17.77939393,Viet Nam,577618.987,747485.4823
